job_id,job_title,salary_usd,salary_currency,salary_local,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,source_file,days_to_deadline,skills_count,home_country_match,experience_level_ord,education_required_ord
AI00001,Data Scientist,219728.0,USD,219728.0,EX,PT,Sweden,M,Sweden,0,"Python, Computer Vision, R, Docker",Associate,13,Transportation,2024-09-23,2024-10-31,1132,6.6,TechCorp Inc,ai_job_dataset1.csv,38,4,1,4,2
AI00002,Head of AI,230237.0,JPY,307573.25,EX,PT,Japan,L,Japan,50,"Kubernetes, MLOps, Tableau, Python",Bachelor,10,Transportation,2024-07-26,2024-09-12,2299,8.5,Cloud AI Solutions,ai_job_dataset1.csv,48,4,1,4,3
AI00003,Data Engineer,128890.0,EUR,109557.0,EX,CT,Germany,S,Germany,100,"Spark, Scala, Hadoop, PyTorch, GCP",Bachelor,12,Automotive,2025-01-19,2025-03-28,1329,5.5,Quantum Computing Inc,ai_job_dataset1.csv,68,5,1,4,3
AI00004,Computer Vision Engineer,96349.0,USD,96349.0,MI,FL,Finland,L,Finland,50,"MLOps, Linux, Tableau, Python",PhD,2,Automotive,2024-07-20,2024-09-06,1132,6.8,Cognitive Computing,ai_job_dataset1.csv,48,4,1,2,5
AI00005,Robotics Engineer,63065.0,EUR,53605.0,EN,FT,France,S,France,100,"R, Scala, SQL, GCP, Python",Associate,0,Finance,2025-03-16,2025-05-09,2011,9.3,Advanced Robotics,ai_job_dataset1.csv,54,5,1,1,2
AI00006,Data Scientist,111794.0,SGD,145332.0,SE,CT,Singapore,S,Norway,50,"NLP, MLOps, TensorFlow",Master,7,Technology,2024-11-10,2025-01-20,1021,5.1,Cloud AI Solutions,ai_job_dataset1.csv,71,3,0,3,4
AI00007,AI Consultant,113897.0,CAD,142371.0,SE,PT,Canada,L,Poland,50,"PyTorch, Linux, NLP",Associate,9,Gaming,2024-02-29,2024-04-21,2268,7.4,AI Innovations,ai_job_dataset1.csv,52,3,0,3,2
AI00008,Head of AI,168639.0,AUD,227663.0,SE,FT,Australia,L,Vietnam,100,"Spark, SQL, Tableau, Computer Vision, Linux",Associate,9,Consulting,2024-02-26,2024-03-17,1497,5.5,TechCorp Inc,ai_job_dataset1.csv,20,5,0,3,2
AI00009,Data Scientist,92624.0,JPY,307573.25,MI,FT,Japan,L,Japan,50,"Kubernetes, SQL, Docker, Deep Learning",Bachelor,4,Government,2024-08-18,2024-10-03,1724,9.5,DataVision Ltd,ai_job_dataset1.csv,46,4,1,2,3
AI00010,Machine Learning Engineer,215627.0,GBP,161720.0,EX,FT,United Kingdom,M,United Kingdom,50,"Git, Scala, GCP",PhD,10,Government,2025-01-18,2025-03-20,902,7.8,DeepTech Ventures,ai_job_dataset1.csv,61,3,1,4,5
AI00011,Data Engineer,129706.0,USD,129706.0,MI,CT,Denmark,L,Denmark,0,"SQL, PyTorch, Statistics, TensorFlow, NLP",Bachelor,3,Consulting,2024-03-10,2024-05-17,2247,5.2,Cloud AI Solutions,ai_job_dataset1.csv,68,5,1,2,3
